It.no.|   Time    |time step |SOR iterations | residual | SOR converged 
    0 |  0.000000 | 0.050000 |      104      | 0.000967 | Yes 
    1 |  0.050000 | 0.050000 |      35      | 0.000999 | Yes 
    2 |  0.100000 | 0.050000 |      24      | 0.000995 | Yes 
    3 |  0.150000 | 0.050000 |      22      | 0.000952 | Yes 
    4 |  0.200000 | 0.050000 |      27      | 0.000977 | Yes 
    5 |  0.250000 | 0.050000 |      35      | 0.000995 | Yes 
    6 |  0.300000 | 0.050000 |      63      | 0.000967 | Yes 
    7 |  0.350000 | 0.050000 |      57      | 0.000976 | Yes 
    8 |  0.400000 | 0.050000 |      53      | 0.000975 | Yes 
    9 |  0.450000 | 0.050000 |      55      | 0.000965 | Yes 
    10 |  0.500000 | 0.050000 |      45      | 0.000996 | Yes 
    11 |  0.550000 | 0.050000 |      80      | 0.000978 | Yes 
    12 |  0.600000 | 0.050000 |      68      | 0.000963 | Yes 
    13 |  0.650000 | 0.050000 |      75      | 0.000987 | Yes 
    14 |  0.700000 | 0.050000 |      73      | 0.000977 | Yes 
    15 |  0.750000 | 0.050000 |      40      | 0.000991 | Yes 
    16 |  0.800000 | 0.050000 |      66      | 0.000998 | Yes 
    17 |  0.850000 | 0.050000 |      72      | 0.000975 | Yes 
    18 |  0.900000 | 0.050000 |      68      | 0.000997 | Yes 
    19 |  0.950000 | 0.050000 |      76      | 0.000988 | Yes 
    20 |  1.000000 | 0.050000 |      61      | 0.000995 | Yes 
    21 |  1.050000 | 0.050000 |      42      | 0.000999 | Yes 
    22 |  1.100000 | 0.050000 |      75      | 0.000998 | Yes 
    23 |  1.150000 | 0.050000 |      62      | 0.000989 | Yes 
    24 |  1.200000 | 0.050000 |      35      | 0.000986 | Yes 
    25 |  1.250000 | 0.050000 |      69      | 0.000987 | Yes 
    26 |  1.300000 | 0.050000 |      49      | 0.000964 | Yes 
    27 |  1.350000 | 0.050000 |      26      | 0.000839 | Yes 
    28 |  1.400000 | 0.050000 |      53      | 0.000988 | Yes 
    29 |  1.450000 | 0.050000 |      69      | 0.000988 | Yes 
    30 |  1.500000 | 0.050000 |      27      | 0.000889 | Yes 
    31 |  1.550000 | 0.029381 |      39      | 0.000967 | Yes 
    32 |  1.579381 | 0.044674 |      65      | 0.000997 | Yes 
    33 |  1.624055 | 0.050000 |      24      | 0.000993 | Yes 
    34 |  1.674055 | 0.050000 |      44      | 0.001000 | Yes 
    35 |  1.724055 | 0.050000 |      40      | 0.000959 | Yes 
    36 |  1.774055 | 0.050000 |      37      | 0.000972 | Yes 
    37 |  1.824055 | 0.050000 |      28      | 0.000943 | Yes 
    38 |  1.874055 | 0.050000 |      62      | 0.000963 | Yes 
    39 |  1.924055 | 0.036438 |      34      | 0.000967 | Yes 
    40 |  1.960492 | 0.031931 |      30      | 0.000792 | Yes 
    41 |  1.992423 | 0.041409 |      33      | 0.000950 | Yes 
    42 |  2.033832 | 0.050000 |      75      | 0.000960 | Yes 
    43 |  2.083832 | 0.050000 |      76      | 0.000998 | Yes 
    44 |  2.133832 | 0.027716 |      67      | 0.000971 | Yes 
    45 |  2.161548 | 0.050000 |      69      | 0.000974 | Yes 
    46 |  2.211548 | 0.043093 |      35      | 0.000999 | Yes 
    47 |  2.254641 | 0.050000 |      25      | 0.000810 | Yes 
    48 |  2.304641 | 0.050000 |      32      | 0.000993 | Yes 
    49 |  2.354641 | 0.050000 |      27      | 0.000914 | Yes 
    50 |  2.404641 | 0.050000 |      56      | 0.000960 | Yes 
    51 |  2.454641 | 0.050000 |      27      | 0.000988 | Yes 
    52 |  2.504641 | 0.050000 |      69      | 0.000983 | Yes 
    53 |  2.554641 | 0.050000 |      63      | 0.000962 | Yes 
    54 |  2.604641 | 0.050000 |      59      | 0.000955 | Yes 
    55 |  2.654641 | 0.050000 |      35      | 0.000961 | Yes 
    56 |  2.704641 | 0.039553 |      32      | 0.000962 | Yes 
    57 |  2.744193 | 0.033243 |      32      | 0.000959 | Yes 
    58 |  2.777436 | 0.036698 |      26      | 0.000976 | Yes 
    59 |  2.814134 | 0.046355 |      35      | 0.000953 | Yes 
    60 |  2.860489 | 0.047640 |      82      | 0.000979 | Yes 
    61 |  2.908129 | 0.050000 |      70      | 0.000956 | Yes 
    62 |  2.958129 | 0.040607 |      69      | 0.000961 | Yes 
    63 |  2.998736 | 0.049856 |      26      | 0.000838 | Yes 
    64 |  3.048591 | 0.047424 |      43      | 0.000977 | Yes 
    65 |  3.096016 | 0.047053 |      41      | 0.000973 | Yes 
    66 |  3.143069 | 0.050000 |      34      | 0.000962 | Yes 
    67 |  3.193069 | 0.050000 |      39      | 0.000954 | Yes 
    68 |  3.243069 | 0.050000 |      47      | 0.000982 | Yes 
    69 |  3.293069 | 0.021843 |      39      | 0.000966 | Yes 
    70 |  3.314912 | 0.030842 |      28      | 0.000886 | Yes 
    71 |  3.345753 | 0.049531 |      27      | 0.000829 | Yes 
    72 |  3.395284 | 0.050000 |      24      | 0.000955 | Yes 
    73 |  3.445284 | 0.050000 |      28      | 0.000937 | Yes 
    74 |  3.495284 | 0.050000 |      25      | 0.000923 | Yes 
    75 |  3.545284 | 0.050000 |      35      | 0.000960 | Yes 
    76 |  3.595284 | 0.050000 |      27      | 0.000901 | Yes 
    77 |  3.645284 | 0.050000 |      33      | 0.000958 | Yes 
    78 |  3.695284 | 0.050000 |      27      | 0.001000 | Yes 
