It.no.|   Time    |time step |SOR iterations | residual | SOR converged 
    0 |  0.000000 | 0.031250 |      631      | 0.000998 | Yes 
    1 |  0.031250 | 0.031250 |      390      | 0.000992 | Yes 
    2 |  0.062500 | 0.031250 |      57      | 0.000995 | Yes 
    3 |  0.093750 | 0.031250 |      94      | 0.001000 | Yes 
    4 |  0.125000 | 0.031250 |      219      | 0.000993 | Yes 
    5 |  0.156250 | 0.031250 |      250      | 0.000993 | Yes 
    6 |  0.187500 | 0.031250 |      266      | 0.000998 | Yes 
    7 |  0.218750 | 0.031250 |      263      | 0.000993 | Yes 
    8 |  0.250000 | 0.031250 |      285      | 0.000995 | Yes 
    9 |  0.281250 | 0.031250 |      174      | 0.000998 | Yes 
    10 |  0.312500 | 0.031250 |      300      | 0.001000 | Yes 
    11 |  0.343750 | 0.031250 |      261      | 0.001000 | Yes 
    12 |  0.375000 | 0.031250 |      257      | 0.000990 | Yes 
    13 |  0.406250 | 0.031250 |      314      | 0.000991 | Yes 
    14 |  0.437500 | 0.031250 |      257      | 0.000995 | Yes 
    15 |  0.468750 | 0.031250 |      300      | 0.000999 | Yes 
    16 |  0.500000 | 0.031250 |      286      | 0.000994 | Yes 
    17 |  0.531250 | 0.031250 |      277      | 0.000998 | Yes 
    18 |  0.562500 | 0.031250 |      319      | 0.000992 | Yes 
    19 |  0.593750 | 0.031250 |      308      | 0.000995 | Yes 
    20 |  0.625000 | 0.030453 |      272      | 0.000994 | Yes 
    21 |  0.655453 | 0.029434 |      272      | 0.000996 | Yes 
    22 |  0.684887 | 0.028572 |      319      | 0.001000 | Yes 
    23 |  0.713459 | 0.027721 |      245      | 0.000994 | Yes 
    24 |  0.741180 | 0.027488 |      313      | 0.000990 | Yes 
    25 |  0.768668 | 0.026478 |      273      | 0.000999 | Yes 
    26 |  0.795146 | 0.026463 |      279      | 0.000990 | Yes 
    27 |  0.821609 | 0.025650 |      246      | 0.000995 | Yes 
    28 |  0.847259 | 0.025650 |      269      | 0.000997 | Yes 
